地区,高中数量,大学数量,办学性质,2022,2023,老师数量,学生人数
江岸区,9,1.0,民办,0.0,0.0,1651.0,16403.0
江汉区,10,,,,,1024.0,14134.0
硚口区,8,1.0,公办,1.69,2.3,1616.0,12708.0
汉阳区,6,,,,,803.0,8721.0
武昌区,10,3.0,公办,132.54000000000002,168.46,2137.0,22597.0
青山区,7,1.0,公办,11.44,12.01,882.0,9539.0
洪山区,8,19.0,公办,381.98,418.34000000000003,1178.0,15943.0
洪山区,8,19.0,公办,381.98,10.48,1178.0,15943.0
洪山区,8,19.0,民办,8.72,418.34000000000003,1178.0,15943.0
洪山区,8,19.0,民办,8.72,10.48,1178.0,15943.0
武汉开发区,5,,,,,534.0,5556.0
东湖开发区,6,,,,,1961.0,14781.0
东湖风景区,2,,,,,681.0,4300.0
东西湖区,4,1.0,公办,6.71,8.56,1131.0,8023.0
汉南区,2,,,,,316.0,3140.0
蔡甸区,5,2.0,公办,32.12,30.89,745.0,7153.0
江夏区,7,16.0,公办,35.120000000000005,40.16,1409.0,13650.0
江夏区,7,16.0,公办,35.120000000000005,7.630000000000001,1409.0,13650.0
江夏区,7,16.0,民办,12.55,40.16,1409.0,13650.0
江夏区,7,16.0,民办,12.55,7.630000000000001,1409.0,13650.0
黄陂区,7,1.0,民办,0.0,0.0,1535.0,18663.0
新洲区,6,1.0,民办,0.0,0.0,1424.0,15579.0
